day,trades,pnl,wr,cumul,chained
2025_01_01,0,0.0,0.0,0.0,0
2025_01_02,13,-145.0,23.076923076923077,-145.0,13
2025_01_03,17,-14.0,52.94117647058824,-159.0,16
2025_01_05,0,0.0,0.0,-159.0,0
2025_01_06,13,244.0,69.23076923076923,85.0,11
2025_01_07,20,-93.0,40.0,-8.0,18
2025_01_08,16,161.0,56.25,153.0,14
2025_01_09,7,155.0,85.71428571428571,308.0,6
2025_01_10,14,93.0,50.0,401.0,12
2025_01_12,1,-12.0,0.0,389.0,0
2025_01_13,15,210.0,53.333333333333336,599.0,14
2025_01_14,15,740.0,73.33333333333333,1339.0,14
2025_01_15,20,-373.0,65.0,966.0,13
2025_01_16,23,-88.0,43.47826086956522,878.0,22
2025_01_17,8,294.5,75.0,1172.5,7
2025_01_19,0,0.0,0.0,1172.5,0
2025_01_20,18,-59.0,61.111111111111114,1113.5,12
2025_01_21,15,-198.0,53.333333333333336,915.5,13
2025_01_22,17,128.5,58.82352941176471,1044.0,13
2025_01_23,9,-123.5,22.22222222222222,920.5,7
2025_01_24,19,39.5,42.10526315789473,960.0,15
2025_01_26,2,1.0,50.0,961.0,0
2025_01_27,12,101.5,41.66666666666667,1062.5,11
2025_01_28,19,40.5,68.42105263157895,1103.0,16
2025_01_29,15,-214.0,33.33333333333333,889.0,13
2025_01_30,22,388.0,54.54545454545454,1277.0,17
2025_01_31,20,-25.0,50.0,1252.0,14
2025_02_02,0,0.0,0.0,1252.0,0
2025_02_03,17,243.5,41.17647058823529,1495.5,16
2025_02_04,20,123.5,45.0,1619.0,16
2025_02_05,16,-304.5,18.75,1314.5,13
2025_02_06,12,-50.0,50.0,1264.5,10
2025_02_07,16,-15.0,75.0,1249.5,14
2025_02_09,0,0.0,0.0,1249.5,0
2025_02_10,13,-184.5,23.076923076923077,1065.0,10
2025_02_11,20,170.0,65.0,1235.0,14
2025_02_12,19,252.5,57.89473684210527,1487.5,13
2025_02_13,20,-392.0,45.0,1095.5,15
2025_02_14,18,-9.5,44.44444444444444,1086.0,13
2025_02_16,2,4.5,50.0,1090.5,0
2025_02_17,17,-116.0,23.52941176470588,974.5,9
2025_02_18,15,-243.0,26.666666666666668,731.5,10
2025_02_19,25,94.0,52.0,825.5,17
2025_02_20,22,-141.5,36.36363636363637,684.0,14
2025_02_21,20,159.0,45.0,843.0,14
2025_02_23,0,0.0,0.0,843.0,0
2025_02_24,16,172.5,75.0,1015.5,14
2025_02_25,14,-77.5,50.0,938.0,12
2025_02_26,12,383.5,58.333333333333336,1321.5,12
2025_02_27,12,-157.0,41.66666666666667,1164.5,11
2025_02_28,11,-105.0,45.45454545454545,1059.5,10
2025_03_02,0,0.0,0.0,1059.5,0
2025_03_03,7,32.0,42.857142857142854,1091.5,7
2025_03_04,17,623.0,58.82352941176471,1714.5,17
2025_03_05,14,-20.5,50.0,1694.0,14
2025_03_06,12,-307.0,33.33333333333333,1387.0,11
2025_03_07,11,215.5,63.63636363636363,1602.5,11
2025_03_09,0,0.0,0.0,1602.5,0
2025_03_10,11,-203.5,36.36363636363637,1399.0,11
2025_03_11,11,-370.0,36.36363636363637,1029.0,10
2025_03_12,20,477.0,55.00000000000001,1506.0,19
2025_03_13,13,327.0,53.84615384615385,1833.0,13
2025_03_14,11,91.5,45.45454545454545,1924.5,9
2025_03_16,0,0.0,0.0,1924.5,0
2025_03_17,22,54.0,40.909090909090914,1978.5,16
2025_03_18,15,71.0,60.0,2049.5,15
2025_03_19,14,-50.5,35.714285714285715,1999.0,13
2025_03_20,21,370.5,42.857142857142854,2369.5,18
2025_03_21,25,-66.5,40.0,2303.0,23
2025_04_01,17,83.0,52.94117647058824,2386.0,13
2025_04_02,13,-313.5,46.15384615384615,2072.5,11
2025_04_03,16,253.5,56.25,2326.0,16
2025_04_04,14,536.5,71.42857142857143,2862.5,13
2025_04_06,1,58.5,100.0,2921.0,1
2025_04_07,17,2729.0,47.05882352941176,5650.0,13
2025_04_08,21,1254.0,66.66666666666666,6904.0,18
2025_04_09,17,786.0,64.70588235294117,7690.0,15
2025_04_10,21,387.0,47.61904761904761,8077.0,20
2025_04_11,8,402.0,62.5,8479.0,8
2025_04_13,4,-65.0,25.0,8414.0,3
2025_04_14,15,269.5,46.666666666666664,8683.5,14
2025_04_15,20,282.0,45.0,8965.5,16
2025_04_16,19,455.5,63.1578947368421,9421.0,18
2025_04_17,14,454.0,50.0,9875.0,12
2025_04_20,0,0.0,0.0,9875.0,0
2025_04_21,14,303.0,71.42857142857143,10178.0,14
2025_04_22,16,642.0,56.25,10820.0,14
2025_04_23,25,246.5,60.0,11066.5,22
2025_04_24,16,40.5,56.25,11107.0,14
2025_04_25,21,447.5,61.904761904761905,11554.5,17
2025_04_27,0,0.0,0.0,11554.5,0
2025_04_28,25,-250.0,36.0,11304.5,19
2025_04_29,19,-427.5,26.31578947368421,10877.0,17
2025_04_30,14,654.0,78.57142857142857,11531.0,14
2025_05_01,12,-67.0,50.0,11464.0,10
2025_05_02,18,-290.0,33.33333333333333,11174.0,16
2025_05_04,0,0.0,0.0,11174.0,0
2025_05_05,19,80.0,31.57894736842105,11254.0,19
2025_05_06,14,376.5,50.0,11630.5,14
2025_05_07,21,183.0,52.38095238095239,11813.5,18
2025_05_08,18,-161.5,55.55555555555556,11652.0,15
2025_05_09,14,176.0,78.57142857142857,11828.0,12
2025_05_11,2,-58.0,0.0,11770.0,2
2025_05_12,15,-165.5,60.0,11604.5,14
2025_05_13,19,-180.0,36.84210526315789,11424.5,17
2025_05_14,18,-51.5,50.0,11373.0,14
2025_05_15,18,-96.0,33.33333333333333,11277.0,16
2025_05_16,21,195.0,47.61904761904761,11472.0,15
2025_05_18,1,-45.5,0.0,11426.5,1
2025_05_19,21,-71.0,38.095238095238095,11355.5,19
2025_05_20,22,127.5,50.0,11483.0,19
2025_05_21,26,266.0,57.692307692307686,11749.0,21
2025_05_22,19,266.0,63.1578947368421,12015.0,17
2025_05_23,20,-238.0,50.0,11777.0,17
2025_05_25,2,-11.5,0.0,11765.5,1
2025_05_26,12,-50.5,50.0,11715.0,11
2025_05_27,17,1.5,47.05882352941176,11716.5,15
2025_05_28,17,66.0,47.05882352941176,11782.5,12
2025_05_29,16,272.0,56.25,12054.5,15
2025_05_30,10,-100.0,60.0,11954.5,10
2025_06_01,2,55.5,100.0,12010.0,1
2025_06_02,10,0.5,50.0,12010.5,9
2025_06_03,9,23.0,55.55555555555556,12033.5,7
2025_06_04,18,25.5,66.66666666666666,12059.0,16
2025_06_05,18,-540.5,50.0,11518.5,15
2025_06_06,16,29.0,50.0,11547.5,12
2025_06_08,0,0.0,0.0,11547.5,0
2025_06_09,25,-106.5,48.0,11441.0,17
2025_06_10,22,234.0,68.18181818181817,11675.0,17
2025_06_11,24,-9.5,29.166666666666668,11665.5,18
2025_06_12,19,-54.0,36.84210526315789,11611.5,17
2025_06_13,14,-191.5,35.714285714285715,11420.0,14
2025_06_15,2,103.0,100.0,11523.0,2
2025_06_16,14,-358.5,21.428571428571427,11164.5,14
2025_06_17,27,-357.0,25.925925925925924,10807.5,23
2025_06_18,24,-209.0,45.83333333333333,10598.5,23
2025_06_19,23,-313.5,34.78260869565217,10285.0,16
2025_06_20,24,89.0,54.166666666666664,10374.0,22
2025_07_01,17,3.5,41.17647058823529,10377.5,15
2025_07_02,17,268.0,64.70588235294117,10645.5,15
2025_07_03,13,122.5,69.23076923076923,10768.0,11
2025_07_04,7,13.5,42.857142857142854,10781.5,3
2025_07_06,2,-36.0,0.0,10745.5,2
2025_07_07,18,-121.5,38.88888888888889,10624.0,15
2025_07_08,21,18.5,47.61904761904761,10642.5,16
2025_07_09,20,25.0,50.0,10667.5,16
2025_07_10,16,158.0,37.5,10825.5,13
2025_07_11,18,-158.0,33.33333333333333,10667.5,12
2025_07_13,1,-35.0,0.0,10632.5,0
2025_07_14,25,-21.0,48.0,10611.5,17
2025_07_15,17,251.0,76.47058823529412,10862.5,15
2025_07_16,22,-305.0,40.909090909090914,10557.5,18
2025_07_17,16,-85.0,37.5,10472.5,8
2025_07_18,18,53.5,50.0,10526.0,14
2025_07_20,0,0.0,0.0,10526.0,0
2025_07_21,19,115.0,36.84210526315789,10641.0,11
2025_07_22,8,-50.0,12.5,10591.0,5
2025_07_23,19,-184.0,42.10526315789473,10407.0,12
2025_07_24,14,2.0,50.0,10409.0,8
2025_07_25,11,-35.5,45.45454545454545,10373.5,4
2025_07_27,3,77.5,100.0,10451.0,0
2025_07_28,19,-17.5,47.368421052631575,10433.5,14
2025_07_29,18,-160.0,33.33333333333333,10273.5,9
2025_07_30,11,-132.0,36.36363636363637,10141.5,6
2025_07_31,14,-650.5,21.428571428571427,9491.0,12
2025_08_01,11,357.0,72.72727272727273,9848.0,8
2025_08_03,2,26.0,50.0,9874.0,0
2025_08_04,11,-152.5,36.36363636363637,9721.5,10
2025_08_05,20,210.5,50.0,9932.0,14
2025_08_06,9,62.0,44.44444444444444,9994.0,9
2025_08_07,16,207.5,68.75,10201.5,14
2025_08_08,12,-11.5,66.66666666666666,10190.0,9
2025_08_10,2,44.0,100.0,10234.0,1
2025_08_11,12,181.0,66.66666666666666,10415.0,12
2025_08_12,16,164.0,56.25,10579.0,14
2025_08_13,21,-76.0,42.857142857142854,10503.0,15
2025_08_14,19,-185.5,21.052631578947366,10317.5,13
2025_08_15,10,46.0,60.0,10363.5,7
2025_08_17,1,-4.5,0.0,10359.0,0
2025_08_18,21,105.0,42.857142857142854,10464.0,19
2025_08_19,13,-14.0,53.84615384615385,10450.0,9
2025_08_20,15,-54.0,46.666666666666664,10396.0,12
2025_08_21,14,-123.0,42.857142857142854,10273.0,9
2025_08_22,10,76.0,50.0,10349.0,10
2025_08_24,2,0.5,50.0,10349.5,0
2025_08_25,15,133.0,80.0,10482.5,4
2025_08_26,16,-83.0,31.25,10399.5,13
2025_08_27,13,0.0,38.46153846153847,10399.5,8
2025_08_28,20,-309.5,35.0,10090.0,14
2025_08_29,9,76.5,66.66666666666666,10166.5,8
2025_08_31,0,0.0,0.0,10166.5,0
2025_09_01,11,167.0,90.9090909090909,10333.5,8
2025_09_02,15,247.5,80.0,10581.0,8
2025_09_03,22,85.5,50.0,10666.5,20
2025_09_04,17,-162.0,23.52941176470588,10504.5,14
2025_09_05,13,-32.5,46.15384615384615,10472.0,9
2025_09_07,3,-25.0,33.33333333333333,10447.0,1
2025_09_08,9,-50.0,55.55555555555556,10397.0,6
2025_09_09,17,-123.0,35.294117647058826,10274.0,12
2025_09_10,11,52.5,27.27272727272727,10326.5,9
2025_09_11,11,-71.5,27.27272727272727,10255.0,6
2025_09_12,13,-193.5,23.076923076923077,10061.5,7
2025_09_14,2,-1.5,50.0,10060.0,1
2025_09_15,7,-7.5,28.57142857142857,10052.5,5
2025_09_16,12,-50.5,41.66666666666667,10002.0,8
2025_09_17,17,193.0,58.82352941176471,10195.0,16
2025_09_18,22,-60.0,59.09090909090909,10135.0,18
2025_09_19,16,-14.5,43.75,10120.5,13
2025_10_01,11,197.0,54.54545454545454,10317.5,8
2025_10_02,13,27.0,46.15384615384615,10344.5,6
2025_10_03,13,-171.0,38.46153846153847,10173.5,10
2025_10_05,3,-13.5,33.33333333333333,10160.0,1
2025_10_06,19,132.0,57.89473684210527,10292.0,15
2025_10_07,26,-26.0,42.30769230769231,10266.0,18
2025_10_08,18,-264.0,27.77777777777778,10002.0,14
2025_10_09,17,104.5,52.94117647058824,10106.5,12
2025_10_10,15,231.0,46.666666666666664,10337.5,11
2025_10_12,0,0.0,0.0,10337.5,0
2025_10_13,13,71.0,61.53846153846154,10408.5,13
2025_10_14,11,409.5,81.81818181818183,10818.0,10
2025_10_15,14,-136.0,35.714285714285715,10682.0,12
2025_10_16,12,245.5,83.33333333333334,10927.5,12
2025_10_17,9,371.0,77.77777777777779,11298.5,8
2025_10_19,1,-17.0,0.0,11281.5,0
2025_10_20,17,203.0,47.05882352941176,11484.5,13
2025_10_21,13,176.5,61.53846153846154,11661.0,10
2025_10_22,13,157.0,76.92307692307693,11818.0,13
2025_10_23,19,260.5,57.89473684210527,12078.5,16
2025_10_24,14,-198.0,42.857142857142854,11880.5,10
2025_10_26,2,11.0,50.0,11891.5,2
2025_10_27,20,-207.0,15.0,11684.5,16
2025_10_28,11,20.5,45.45454545454545,11705.0,10
2025_10_29,19,-88.0,31.57894736842105,11617.0,14
2025_10_30,9,-248.0,33.33333333333333,11369.0,9
2025_10_31,14,-190.0,50.0,11179.0,13
2025_11_02,0,0.0,0.0,11179.0,0
2025_11_03,20,-135.5,40.0,11043.5,16
2025_11_04,13,-20.0,53.84615384615385,11023.5,11
2025_11_05,12,-98.5,25.0,10925.0,11
2025_11_06,11,31.5,54.54545454545454,10956.5,10
2025_11_07,8,53.0,62.5,11009.5,7
2025_11_09,0,0.0,0.0,11009.5,0
2025_11_10,11,113.5,54.54545454545454,11123.0,9
2025_11_11,7,-33.0,42.857142857142854,11090.0,6
2025_11_12,14,33.0,35.714285714285715,11123.0,11
2025_11_13,12,-366.5,41.66666666666667,10756.5,11
2025_11_14,7,-17.0,42.857142857142854,10739.5,6
2025_11_16,0,0.0,0.0,10739.5,0
2025_11_17,5,174.0,60.0,10913.5,5
2025_11_18,12,-465.5,41.66666666666667,10448.0,12
2025_11_19,8,10.0,62.5,10458.0,8
2025_11_20,12,38.0,25.0,10496.0,11
2025_11_21,10,-224.5,40.0,10271.5,10
2025_11_23,0,0.0,0.0,10271.5,0
2025_11_24,19,421.0,47.368421052631575,10692.5,18
2025_11_25,18,-699.0,27.77777777777778,9993.5,16
2025_11_26,15,-80.0,40.0,9913.5,13
2025_11_27,19,-32.5,63.1578947368421,9881.0,17
2025_11_28,7,108.5,42.857142857142854,9989.5,6
2025_11_30,1,-52.5,0.0,9937.0,1
2025_12_01,21,84.0,57.14285714285714,10021.0,20
2025_12_02,10,6.0,60.0,10027.0,10
2025_12_03,16,-101.5,43.75,9925.5,13
2025_12_04,19,521.0,63.1578947368421,10446.5,15
2025_12_05,22,357.0,68.18181818181817,10803.5,16
2025_12_07,0,0.0,0.0,10803.5,0
2025_12_08,14,-159.5,28.57142857142857,10644.0,13
2025_12_09,17,-4.0,52.94117647058824,10640.0,14
2025_12_10,22,-319.5,36.36363636363637,10320.5,15
2025_12_11,18,87.5,55.55555555555556,10408.0,16
2025_12_12,14,-12.5,42.857142857142854,10395.5,12
2025_12_14,0,0.0,0.0,10395.5,0
2025_12_15,17,130.0,35.294117647058826,10525.5,15
2025_12_16,19,-67.0,42.10526315789473,10458.5,17
2025_12_17,21,-32.0,47.61904761904761,10426.5,20
2025_12_18,18,37.5,72.22222222222221,10464.0,14
2025_12_19,18,107.0,50.0,10571.0,15
