tier,sub_motif_shape,measure_shape,n_is,n_oos,mean_is,mean_oos,sum_is,sum_oos,sign_match
CASCADE,FLATLINE,FLATLINE,19,5,-2.21,0.0,-42.0,0.0,0
CASCADE,FLATLINE,NOISE,44,7,1.73,1.07,76.0,8.0,1
CASCADE,FLATLINE,STEEP_CONCAVE_UP,23,8,0.67,3.5,16.0,28.0,1
CASCADE,FLATLINE,STEEP_CONVEX_DOWN,38,6,1.3,6.17,50.0,37.0,1
CASCADE,FLATLINE,STEEP_LINEAR_DOWN,53,19,-2.27,-1.05,-120.0,-20.0,1
CASCADE,FLATLINE,STEEP_LINEAR_UP,45,12,-5.28,-2.08,-238.0,-25.0,1
CASCADE,GENTLE_CONCAVE_DOWN,STEEP_LINEAR_DOWN,17,2,-2.41,-7.0,-41.0,-14.0,1
CASCADE,GENTLE_CONCAVE_UP,FLATLINE,23,3,-2.7,-1.83,-62.0,-6.0,1
CASCADE,GENTLE_CONCAVE_UP,GENTLE_LINEAR_UP,14,1,0.86,3.5,12.0,4.0,1
CASCADE,GENTLE_CONCAVE_UP,NOISE,67,5,2.02,5.0,136.0,25.0,1
CASCADE,GENTLE_CONCAVE_UP,STEEP_CONCAVE_DOWN,10,0,-7.05,,-70.0,0.0,-1
CASCADE,GENTLE_CONCAVE_UP,STEEP_CONCAVE_UP,32,0,0.27,,8.0,0.0,-1
CASCADE,GENTLE_CONCAVE_UP,STEEP_CONVEX_DOWN,32,12,-0.86,-1.62,-28.0,-20.0,1
CASCADE,GENTLE_CONCAVE_UP,STEEP_LINEAR_DOWN,41,11,-0.41,-4.23,-17.0,-46.0,1
CASCADE,GENTLE_CONCAVE_UP,STEEP_LINEAR_UP,14,0,-0.39,,-6.0,0.0,-1
CASCADE,GENTLE_CONVEX_DOWN,NOISE,25,5,2.06,5.5,52.0,28.0,1
CASCADE,GENTLE_CONVEX_DOWN,STEEP_CONCAVE_UP,10,5,-2.95,0.6,-30.0,3.0,0
CASCADE,GENTLE_CONVEX_DOWN,STEEP_CONVEX_DOWN,59,3,-1.25,-0.17,-74.0,-0.0,1
CASCADE,GENTLE_CONVEX_DOWN,STEEP_LINEAR_DOWN,28,9,2.05,-0.33,58.0,-3.0,0
CASCADE,GENTLE_CONVEX_DOWN,STEEP_LINEAR_UP,23,4,0.78,4.88,18.0,20.0,1
CASCADE,GENTLE_LINEAR_DOWN,FLATLINE,10,3,-2.2,-0.83,-22.0,-2.0,1
CASCADE,GENTLE_LINEAR_DOWN,NOISE,24,3,1.1,6.17,26.0,18.0,1
CASCADE,GENTLE_LINEAR_DOWN,STEEP_CONVEX_DOWN,41,5,-0.83,-1.9,-34.0,-10.0,1
CASCADE,GENTLE_LINEAR_DOWN,STEEP_LINEAR_DOWN,53,9,-0.85,-0.06,-45.0,-0.0,1
CASCADE,GENTLE_LINEAR_UP,FLATLINE,10,4,-0.2,6.5,-2.0,26.0,0
CASCADE,GENTLE_LINEAR_UP,NOISE,16,5,4.91,1.5,78.0,8.0,1
CASCADE,GENTLE_LINEAR_UP,STEEP_CONCAVE_UP,26,4,0.13,-2.0,4.0,-8.0,0
CASCADE,GENTLE_LINEAR_UP,STEEP_CONVEX_DOWN,13,1,1.58,0.0,20.0,0.0,0
CASCADE,GENTLE_LINEAR_UP,STEEP_LINEAR_DOWN,18,3,-0.67,3.33,-12.0,10.0,0
CASCADE,GENTLE_LINEAR_UP,STEEP_LINEAR_UP,26,7,-1.58,-2.14,-41.0,-15.0,1
CASCADE,NOISE,NOISE,35,8,-0.24,13.75,-8.0,110.0,0
CASCADE,NOISE,STEEP_CONCAVE_UP,21,0,5.12,,108.0,0.0,-1
CASCADE,NOISE,STEEP_CONVEX_DOWN,16,4,1.44,4.75,23.0,19.0,1
CASCADE,NOISE,STEEP_LINEAR_DOWN,28,11,0.02,-5.36,0.0,-59.0,0
CASCADE,NOISE,STEEP_LINEAR_UP,16,10,-3.97,-0.75,-64.0,-8.0,1
CASCADE,STEEP_CONCAVE_DOWN,STEEP_LINEAR_DOWN,28,2,-3.93,21.5,-110.0,43.0,0
CASCADE,STEEP_CONCAVE_UP,FLATLINE,33,3,0.89,0.5,30.0,2.0,1
CASCADE,STEEP_CONCAVE_UP,NOISE,38,5,4.01,5.2,152.0,26.0,1
CASCADE,STEEP_CONCAVE_UP,STEEP_CONCAVE_UP,48,18,-1.77,-0.83,-85.0,-15.0,1
CASCADE,STEEP_CONCAVE_UP,STEEP_CONVEX_DOWN,40,23,2.2,1.96,88.0,45.0,1
CASCADE,STEEP_CONCAVE_UP,STEEP_LINEAR_DOWN,46,21,0.67,-2.43,31.0,-51.0,0
CASCADE,STEEP_CONCAVE_UP,STEEP_LINEAR_UP,39,12,-0.33,-13.54,-13.0,-162.0,1
CASCADE,STEEP_CONVEX_DOWN,FLATLINE,26,8,2.37,1.44,62.0,12.0,1
CASCADE,STEEP_CONVEX_DOWN,NOISE,35,14,0.39,7.86,14.0,110.0,1
CASCADE,STEEP_CONVEX_DOWN,STEEP_CONCAVE_UP,34,3,0.4,-27.17,14.0,-82.0,0
CASCADE,STEEP_CONVEX_DOWN,STEEP_CONVEX_DOWN,48,7,1.51,-0.57,72.0,-4.0,0
CASCADE,STEEP_CONVEX_DOWN,STEEP_LINEAR_DOWN,47,12,-0.9,-5.38,-42.0,-64.0,1
CASCADE,STEEP_CONVEX_DOWN,STEEP_LINEAR_UP,27,13,-5.33,-11.65,-144.0,-152.0,1
CASCADE,STEEP_LINEAR_DOWN,FLATLINE,17,13,4.18,9.08,71.0,118.0,1
CASCADE,STEEP_LINEAR_DOWN,NOISE,27,8,-0.94,3.75,-26.0,30.0,0
CASCADE,STEEP_LINEAR_DOWN,STEEP_CONCAVE_UP,23,13,6.5,2.12,150.0,28.0,1
CASCADE,STEEP_LINEAR_DOWN,STEEP_CONVEX_DOWN,91,24,-0.26,-4.79,-24.0,-115.0,1
CASCADE,STEEP_LINEAR_DOWN,STEEP_LINEAR_DOWN,97,26,-1.43,-1.37,-138.0,-36.0,1
CASCADE,STEEP_LINEAR_DOWN,STEEP_LINEAR_UP,25,14,3.12,-3.14,78.0,-44.0,0
CASCADE,STEEP_LINEAR_UP,FLATLINE,28,1,-0.21,0.0,-6.0,0.0,0
CASCADE,STEEP_LINEAR_UP,GENTLE_CONVEX_DOWN,15,0,1.07,,16.0,0.0,-1
CASCADE,STEEP_LINEAR_UP,NOISE,39,7,2.18,0.36,85.0,2.0,1
CASCADE,STEEP_LINEAR_UP,STEEP_CONCAVE_DOWN,15,2,-1.33,33.75,-20.0,68.0,0
CASCADE,STEEP_LINEAR_UP,STEEP_CONCAVE_UP,89,13,-0.71,-3.88,-64.0,-50.0,1
CASCADE,STEEP_LINEAR_UP,STEEP_CONVEX_DOWN,49,4,0.74,4.12,36.0,16.0,1
CASCADE,STEEP_LINEAR_UP,STEEP_LINEAR_DOWN,32,6,0.59,-3.08,19.0,-18.0,0
CASCADE,STEEP_LINEAR_UP,STEEP_LINEAR_UP,89,34,-0.29,-5.59,-26.0,-190.0,1
FADE_AGAINST,FLATLINE,NOISE,26,2,0.73,17.0,19.0,34.0,1
FADE_AGAINST,FLATLINE,STEEP_CONCAVE_UP,18,0,-1.06,,-19.0,0.0,-1
FADE_AGAINST,FLATLINE,STEEP_CONVEX_DOWN,17,3,2.65,2.67,45.0,8.0,1
FADE_AGAINST,FLATLINE,STEEP_CONVEX_UP,11,2,-7.82,-1.5,-86.0,-3.0,1
FADE_AGAINST,FLATLINE,STEEP_LINEAR_DOWN,30,12,-3.67,2.17,-110.0,26.0,0
FADE_AGAINST,FLATLINE,STEEP_LINEAR_UP,41,16,-2.27,-2.31,-93.0,-37.0,1
FADE_AGAINST,GENTLE_CONCAVE_UP,NOISE,23,7,0.63,0.43,14.0,3.0,1
FADE_AGAINST,GENTLE_CONCAVE_UP,STEEP_CONCAVE_UP,29,1,0.19,4.0,6.0,4.0,1
FADE_AGAINST,GENTLE_CONCAVE_UP,STEEP_CONVEX_DOWN,16,6,-0.62,10.17,-10.0,61.0,0
FADE_AGAINST,GENTLE_CONCAVE_UP,STEEP_LINEAR_DOWN,21,1,-3.69,-6.5,-78.0,-6.0,1
FADE_AGAINST,GENTLE_CONVEX_DOWN,FLATLINE,14,1,-1.36,-2.0,-19.0,-2.0,1
FADE_AGAINST,GENTLE_CONVEX_DOWN,NOISE,29,7,1.57,1.14,46.0,8.0,1
FADE_AGAINST,GENTLE_CONVEX_DOWN,STEEP_CONCAVE_UP,18,3,0.94,4.17,17.0,12.0,1
FADE_AGAINST,GENTLE_CONVEX_DOWN,STEEP_CONVEX_DOWN,24,5,1.48,0.7,36.0,4.0,1
FADE_AGAINST,GENTLE_CONVEX_DOWN,STEEP_CONVEX_UP,11,0,1.45,,16.0,0.0,-1
FADE_AGAINST,GENTLE_CONVEX_DOWN,STEEP_LINEAR_DOWN,11,3,1.59,1.0,18.0,3.0,1
FADE_AGAINST,GENTLE_CONVEX_DOWN,STEEP_LINEAR_UP,62,24,-1.11,1.21,-69.0,29.0,0
FADE_AGAINST,GENTLE_CONVEX_UP,STEEP_LINEAR_UP,11,1,-0.59,0.0,-6.0,0.0,0
FADE_AGAINST,GENTLE_LINEAR_DOWN,NOISE,12,2,-2.54,1.25,-30.0,2.0,0
FADE_AGAINST,GENTLE_LINEAR_DOWN,STEEP_CONCAVE_UP,19,2,0.74,6.25,14.0,12.0,1
FADE_AGAINST,GENTLE_LINEAR_DOWN,STEEP_CONVEX_DOWN,10,1,0.9,3.5,9.0,4.0,1
FADE_AGAINST,GENTLE_LINEAR_DOWN,STEEP_LINEAR_DOWN,14,1,1.46,0.0,20.0,0.0,0
FADE_AGAINST,GENTLE_LINEAR_DOWN,STEEP_LINEAR_UP,24,5,-1.33,-0.8,-32.0,-4.0,1
FADE_AGAINST,GENTLE_LINEAR_UP,NOISE,12,1,3.21,15.5,38.0,16.0,1
FADE_AGAINST,GENTLE_LINEAR_UP,STEEP_CONCAVE_UP,20,3,2.95,0.5,59.0,2.0,1
FADE_AGAINST,GENTLE_LINEAR_UP,STEEP_CONVEX_DOWN,11,0,1.14,,12.0,0.0,-1
FADE_AGAINST,GENTLE_LINEAR_UP,STEEP_LINEAR_UP,17,9,2.38,-0.94,40.0,-8.0,0
FADE_AGAINST,NOISE,NOISE,28,7,-1.05,-2.86,-30.0,-20.0,1
FADE_AGAINST,NOISE,STEEP_CONCAVE_UP,15,0,4.73,,71.0,0.0,-1
FADE_AGAINST,NOISE,STEEP_CONVEX_DOWN,10,4,4.3,2.12,43.0,8.0,1
FADE_AGAINST,NOISE,STEEP_LINEAR_DOWN,29,9,-3.71,0.44,-108.0,4.0,0
FADE_AGAINST,NOISE,STEEP_LINEAR_UP,40,8,-1.74,2.19,-70.0,18.0,0
FADE_AGAINST,STEEP_CONCAVE_UP,FLATLINE,12,2,0.75,1.75,9.0,4.0,1
FADE_AGAINST,STEEP_CONCAVE_UP,NOISE,30,5,10.48,-0.6,314.0,-3.0,0
FADE_AGAINST,STEEP_CONCAVE_UP,STEEP_CONCAVE_UP,69,16,1.2,-0.03,83.0,-0.0,0
FADE_AGAINST,STEEP_CONCAVE_UP,STEEP_CONVEX_DOWN,66,8,2.8,1.5,185.0,12.0,1
FADE_AGAINST,STEEP_CONCAVE_UP,STEEP_LINEAR_DOWN,49,13,-0.71,-6.31,-35.0,-82.0,1
FADE_AGAINST,STEEP_CONCAVE_UP,STEEP_LINEAR_UP,46,10,-0.47,4.25,-22.0,42.0,0
FADE_AGAINST,STEEP_CONVEX_DOWN,FLATLINE,15,7,2.77,0.07,42.0,0.0,1
FADE_AGAINST,STEEP_CONVEX_DOWN,NOISE,39,4,3.29,8.62,128.0,34.0,1
FADE_AGAINST,STEEP_CONVEX_DOWN,STEEP_CONCAVE_UP,41,18,1.5,-0.31,62.0,-6.0,0
FADE_AGAINST,STEEP_CONVEX_DOWN,STEEP_CONVEX_DOWN,61,22,1.36,0.16,83.0,4.0,1
FADE_AGAINST,STEEP_CONVEX_DOWN,STEEP_LINEAR_DOWN,37,10,2.58,-2.45,96.0,-24.0,0
FADE_AGAINST,STEEP_CONVEX_DOWN,STEEP_LINEAR_UP,45,24,-0.72,-3.58,-32.0,-86.0,1
FADE_AGAINST,STEEP_CONVEX_UP,STEEP_CONCAVE_UP,11,2,0.23,-4.5,2.0,-9.0,0
FADE_AGAINST,STEEP_CONVEX_UP,STEEP_LINEAR_UP,11,4,7.95,5.75,88.0,23.0,1
FADE_AGAINST,STEEP_LINEAR_DOWN,FLATLINE,18,7,0.06,4.29,1.0,30.0,1
FADE_AGAINST,STEEP_LINEAR_DOWN,NOISE,41,7,6.59,-0.5,270.0,-4.0,0
FADE_AGAINST,STEEP_LINEAR_DOWN,STEEP_CONCAVE_UP,43,16,1.67,1.38,72.0,22.0,1
FADE_AGAINST,STEEP_LINEAR_DOWN,STEEP_CONVEX_DOWN,107,19,-0.62,2.84,-66.0,54.0,0
FADE_AGAINST,STEEP_LINEAR_DOWN,STEEP_LINEAR_DOWN,119,40,-0.39,0.88,-46.0,35.0,0
FADE_AGAINST,STEEP_LINEAR_DOWN,STEEP_LINEAR_UP,38,2,-4.63,-12.5,-176.0,-25.0,1
FADE_AGAINST,STEEP_LINEAR_UP,FLATLINE,16,4,4.31,4.38,69.0,18.0,1
FADE_AGAINST,STEEP_LINEAR_UP,NOISE,20,7,3.8,8.79,76.0,62.0,1
FADE_AGAINST,STEEP_LINEAR_UP,STEEP_CONCAVE_DOWN,13,4,-5.08,-7.38,-66.0,-30.0,1
FADE_AGAINST,STEEP_LINEAR_UP,STEEP_CONCAVE_UP,102,34,1.2,2.76,122.0,94.0,1
FADE_AGAINST,STEEP_LINEAR_UP,STEEP_CONVEX_DOWN,40,7,3.96,-13.71,158.0,-96.0,0
FADE_AGAINST,STEEP_LINEAR_UP,STEEP_LINEAR_DOWN,42,16,-0.86,2.41,-36.0,38.0,0
FADE_AGAINST,STEEP_LINEAR_UP,STEEP_LINEAR_UP,164,30,-1.03,-4.4,-169.0,-132.0,1
FADE_AT_BAND,FLATLINE,FLATLINE,71,19,2.13,5.05,152.0,96.0,1
FADE_AT_BAND,FLATLINE,GENTLE_CONCAVE_UP,12,1,0.96,0.0,12.0,0.0,0
FADE_AT_BAND,FLATLINE,NOISE,118,26,0.74,0.04,88.0,1.0,1
FADE_AT_BAND,FLATLINE,STEEP_CONCAVE_DOWN,46,10,-1.0,-4.3,-46.0,-43.0,1
FADE_AT_BAND,FLATLINE,STEEP_CONCAVE_UP,84,47,1.65,0.12,138.0,6.0,1
FADE_AT_BAND,FLATLINE,STEEP_CONVEX_DOWN,77,23,2.55,3.07,196.0,70.0,1
FADE_AT_BAND,FLATLINE,STEEP_CONVEX_UP,40,15,0.17,12.3,7.0,184.0,1
FADE_AT_BAND,FLATLINE,STEEP_LINEAR_DOWN,112,42,-1.61,0.33,-180.0,14.0,0
FADE_AT_BAND,FLATLINE,STEEP_LINEAR_UP,136,36,-1.79,-4.04,-244.0,-146.0,1
FADE_AT_BAND,GENTLE_CONCAVE_DOWN,FLATLINE,10,0,0.25,,2.0,0.0,-1
FADE_AT_BAND,GENTLE_CONCAVE_DOWN,STEEP_CONVEX_DOWN,10,2,4.25,2.25,42.0,4.0,1
FADE_AT_BAND,GENTLE_CONCAVE_DOWN,STEEP_LINEAR_DOWN,14,3,-2.89,0.0,-40.0,0.0,0
FADE_AT_BAND,GENTLE_CONCAVE_UP,FLATLINE,27,5,1.22,5.6,33.0,28.0,1
FADE_AT_BAND,GENTLE_CONCAVE_UP,GENTLE_CONCAVE_UP,38,10,0.79,1.8,30.0,18.0,1
FADE_AT_BAND,GENTLE_CONCAVE_UP,GENTLE_CONVEX_DOWN,11,5,0.77,3.2,8.0,16.0,1
FADE_AT_BAND,GENTLE_CONCAVE_UP,GENTLE_LINEAR_UP,18,0,1.61,,29.0,0.0,-1
FADE_AT_BAND,GENTLE_CONCAVE_UP,NOISE,164,22,0.98,5.68,161.0,125.0,1
FADE_AT_BAND,GENTLE_CONCAVE_UP,STEEP_CONCAVE_UP,184,47,1.14,1.6,210.0,75.0,1
FADE_AT_BAND,GENTLE_CONCAVE_UP,STEEP_CONVEX_DOWN,31,18,1.6,-0.22,50.0,-4.0,0
FADE_AT_BAND,GENTLE_CONCAVE_UP,STEEP_LINEAR_DOWN,38,15,2.41,-1.8,92.0,-27.0,0
FADE_AT_BAND,GENTLE_CONCAVE_UP,STEEP_LINEAR_UP,110,3,1.44,-0.5,158.0,-2.0,0
FADE_AT_BAND,GENTLE_CONVEX_DOWN,FLATLINE,25,5,2.8,1.1,70.0,6.0,1
FADE_AT_BAND,GENTLE_CONVEX_DOWN,GENTLE_LINEAR_DOWN,14,4,0.18,2.25,2.0,9.0,1
FADE_AT_BAND,GENTLE_CONVEX_DOWN,NOISE,109,20,1.38,0.47,150.0,10.0,1
FADE_AT_BAND,GENTLE_CONVEX_DOWN,STEEP_CONCAVE_UP,38,10,-1.01,2.3,-38.0,23.0,0
FADE_AT_BAND,GENTLE_CONVEX_DOWN,STEEP_CONVEX_DOWN,141,16,1.98,1.09,279.0,18.0,1
FADE_AT_BAND,GENTLE_CONVEX_DOWN,STEEP_LINEAR_DOWN,63,3,0.93,-3.17,58.0,-10.0,0
FADE_AT_BAND,GENTLE_CONVEX_DOWN,STEEP_LINEAR_UP,75,10,0.37,-1.85,28.0,-18.0,0
FADE_AT_BAND,GENTLE_CONVEX_UP,STEEP_CONVEX_UP,16,5,-1.28,2.0,-20.0,10.0,0
FADE_AT_BAND,GENTLE_CONVEX_UP,STEEP_LINEAR_UP,28,11,-0.79,-1.36,-22.0,-15.0,1
FADE_AT_BAND,GENTLE_LINEAR_DOWN,FLATLINE,24,0,0.98,,24.0,0.0,-1
FADE_AT_BAND,GENTLE_LINEAR_DOWN,NOISE,59,1,0.49,0.0,29.0,0.0,0
FADE_AT_BAND,GENTLE_LINEAR_DOWN,STEEP_CONVEX_DOWN,73,3,1.58,-9.67,116.0,-29.0,0
FADE_AT_BAND,GENTLE_LINEAR_DOWN,STEEP_LINEAR_DOWN,77,27,1.08,1.63,83.0,44.0,1
FADE_AT_BAND,GENTLE_LINEAR_DOWN,STEEP_LINEAR_UP,16,11,-2.69,1.82,-43.0,20.0,0
FADE_AT_BAND,GENTLE_LINEAR_UP,FLATLINE,22,11,1.52,1.32,34.0,14.0,1
FADE_AT_BAND,GENTLE_LINEAR_UP,GENTLE_CONCAVE_UP,15,0,0.93,,14.0,0.0,-1
FADE_AT_BAND,GENTLE_LINEAR_UP,NOISE,66,17,0.75,2.09,50.0,36.0,1
FADE_AT_BAND,GENTLE_LINEAR_UP,STEEP_CONCAVE_UP,107,32,2.04,-0.27,218.0,-8.0,0
FADE_AT_BAND,GENTLE_LINEAR_UP,STEEP_CONVEX_DOWN,22,22,0.36,0.16,8.0,4.0,1
FADE_AT_BAND,GENTLE_LINEAR_UP,STEEP_LINEAR_UP,138,20,0.17,2.73,24.0,54.0,1
FADE_AT_BAND,NOISE,FLATLINE,38,9,9.03,15.61,343.0,140.0,1
FADE_AT_BAND,NOISE,NOISE,114,75,-1.95,-4.63,-222.0,-348.0,1
FADE_AT_BAND,NOISE,STEEP_CONCAVE_DOWN,14,4,-8.57,-0.25,-120.0,-1.0,1
FADE_AT_BAND,NOISE,STEEP_CONCAVE_UP,149,38,2.26,1.95,337.0,74.0,1
FADE_AT_BAND,NOISE,STEEP_CONVEX_DOWN,48,67,6.09,5.57,292.0,374.0,1
FADE_AT_BAND,NOISE,STEEP_CONVEX_UP,26,8,1.04,8.5,27.0,68.0,1
FADE_AT_BAND,NOISE,STEEP_LINEAR_DOWN,98,27,-0.34,2.7,-33.0,73.0,0
FADE_AT_BAND,NOISE,STEEP_LINEAR_UP,84,29,2.26,2.57,190.0,74.0,1
FADE_AT_BAND,STEEP_CONCAVE_DOWN,STEEP_CONCAVE_DOWN,29,22,-1.26,-4.25,-36.0,-94.0,1
FADE_AT_BAND,STEEP_CONCAVE_DOWN,STEEP_CONVEX_DOWN,42,7,-9.26,2.57,-389.0,18.0,0
FADE_AT_BAND,STEEP_CONCAVE_DOWN,STEEP_LINEAR_DOWN,164,20,-6.65,-6.67,-1090.0,-134.0,1
FADE_AT_BAND,STEEP_CONCAVE_DOWN,STEEP_LINEAR_UP,23,0,6.43,,148.0,0.0,-1
FADE_AT_BAND,STEEP_CONCAVE_UP,FLATLINE,498,148,-0.33,0.15,-165.0,22.0,0
FADE_AT_BAND,STEEP_CONCAVE_UP,GENTLE_CONCAVE_UP,84,13,0.31,0.58,26.0,8.0,1
FADE_AT_BAND,STEEP_CONCAVE_UP,GENTLE_CONVEX_DOWN,104,13,0.29,0.54,30.0,7.0,1
FADE_AT_BAND,STEEP_CONCAVE_UP,GENTLE_CONVEX_UP,21,7,-0.33,-1.07,-7.0,-8.0,1
FADE_AT_BAND,STEEP_CONCAVE_UP,GENTLE_LINEAR_UP,36,2,0.44,11.0,16.0,22.0,1
FADE_AT_BAND,STEEP_CONCAVE_UP,NOISE,526,148,1.39,3.71,734.0,548.0,1
FADE_AT_BAND,STEEP_CONCAVE_UP,STEEP_CONCAVE_DOWN,57,7,2.68,2.21,152.0,16.0,1
FADE_AT_BAND,STEEP_CONCAVE_UP,STEEP_CONCAVE_UP,1471,477,0.61,1.21,903.0,576.0,1
FADE_AT_BAND,STEEP_CONCAVE_UP,STEEP_CONVEX_DOWN,546,111,0.21,0.54,116.0,60.0,1
FADE_AT_BAND,STEEP_CONCAVE_UP,STEEP_CONVEX_UP,116,34,-3.53,-0.74,-409.0,-25.0,1
FADE_AT_BAND,STEEP_CONCAVE_UP,STEEP_LINEAR_DOWN,281,133,2.37,3.37,667.0,448.0,1
FADE_AT_BAND,STEEP_CONCAVE_UP,STEEP_LINEAR_UP,1064,265,-1.45,-0.42,-1539.0,-112.0,1
